,pos_proportion,neg_proportion,tonality,unc_proportion,cons_proportion,lit_proportion,modstrong_proportion,modweak_proportion,fog_index,wordcount,complex_pr,words_ps
218,0.04207573632538569,0.03927068723702665,0.034482758620689655,0.004207573632538569,0.008415147265077139,0.0070126227208976155,0.002805049088359046,0.001402524544179523,21.523513060148574,1391.0,0.306254493170381,23.183333333333334
219,0.02926481084939329,0.029978586723768737,-0.012048192771084338,0.004996431120628123,0.006423982869379015,0.0014275517487508922,0.0007137758743754461,0.0035688793718772305,20.93643550220765,2776.0,0.2687319884726225,25.46788990825688
220,0.03453815261044177,0.013654618473895583,0.43333333333333335,0.004819277108433735,0.00321285140562249,0.0024096385542168677,0.00321285140562249,0.004819277108433735,20.357454589784226,2524.0,0.2662440570522979,24.26923076923077
221,0.04327666151468315,0.03863987635239567,0.05660377358490566,0.005409582689335394,0.0077279752704791345,0.010819165378670788,0.005409582689335394,0.0030911901081916537,19.36678750264476,2578.0,0.24980605120248253,23.436363636363637
222,0.03935860058309038,0.02259475218658892,0.27058823529411763,0.0029154518950437317,0.0036443148688046646,0.0014577259475218659,0.0014577259475218659,0.0014577259475218659,18.61043840313495,2722.0,0.23842762674504042,22.683333333333334
223,0.04671532846715328,0.01824817518248175,0.43820224719101125,0.004379562043795621,0.006569343065693431,0.0051094890510948905,0.0051094890510948905,0.0021897810218978104,20.594575650165282,2743.0,0.2843601895734597,23.050420168067227
224,0.040522875816993466,0.011764705882352941,0.55,0.00130718954248366,0.006535947712418301,0.006535947712418301,0.0,0.00065359477124183,21.269124183006536,3060.0,0.2869281045751634,24.48
225,0.048730964467005075,0.013197969543147208,0.5737704918032787,0.01116751269035533,0.012182741116751269,0.012182741116751269,0.0020304568527918783,0.005076142131979695,23.350832526174994,1971.0,0.28513444951801115,29.863636363636363
226,0.03005181347150259,0.01865284974093264,0.23404255319148937,0.007253886010362694,0.002072538860103627,0.002072538860103627,0.002072538860103627,0.004145077720207254,23.25740788040921,2038.0,0.30225711481844947,27.91780821917808
227,0.04264099037138927,0.015130674002751032,0.47619047619047616,0.008253094910591471,0.002751031636863824,0.0041265474552957355,0.0041265474552957355,0.0,24.083644475754376,1503.0,0.3073852295409182,29.470588235294116
228,0.035265989240884636,0.011954572624028692,0.4936708860759494,0.007172743574417215,0.001195457262402869,0.010759115361625823,0.002988643156007173,0.002988643156007173,23.375936708745055,3529.0,0.29980164352507793,28.45967741935484
229,0.029839326702371844,0.015302218821729151,0.3220338983050847,0.008416220351951033,0.00306044376434583,0.015302218821729151,0.00306044376434583,0.0022953328232593728,23.413451438300058,2707.0,0.29109715552271886,29.42391304347826
230,0.03492063492063492,0.01746031746031746,0.3333333333333333,0.00873015873015873,0.0031746031746031746,0.012698412698412698,0.006349206349206349,0.0015873015873015873,22.956805762543468,2684.0,0.29433681073025336,27.958333333333332
231,0.04366438356164384,0.019691780821917807,0.3783783783783784,0.00684931506849315,0.004280821917808219,0.0136986301369863,0.0059931506849315065,0.003424657534246575,24.334720526352967,2417.0,0.31361191559784857,29.475609756097562
232,0.037756202804746494,0.025889967637540454,0.1864406779661017,0.010787486515641856,0.005393743257820928,0.008629989212513484,0.003236245954692557,0.005393743257820928,22.94038484101842,1894.0,0.31045406546990495,26.305555555555557
233,0.029649595687331536,0.03504043126684636,-0.08333333333333333,0.005390835579514825,0.018867924528301886,0.0026954177897574125,0.0026954177897574125,0.0,21.59209235209235,693.0,0.3088023088023088,23.1
234,0.048355899419729204,0.03481624758220503,0.16279069767441862,0.01160541586073501,0.009671179883945842,0.007736943907156673,0.0038684719535783366,0.0019342359767891683,20.1684540306061,965.0,0.27979274611398963,22.441860465116278
235,0.04258675078864353,0.017350157728706624,0.42105263157894735,0.0031545741324921135,0.006309148264984227,0.0031545741324921135,0.0031545741324921135,0.0015772870662460567,22.768666666666668,1250.0,0.3088,26.041666666666668
236,0.04208416833667335,0.018036072144288578,0.4,0.002004008016032064,0.0,0.002004008016032064,0.0,0.0,22.15641856066034,943.0,0.2990455991516437,25.486486486486488
237,0.041922290388548056,0.018404907975460124,0.3898305084745763,0.003067484662576687,0.00408997955010225,0.010224948875255624,0.002044989775051125,0.0,24.043815344469433,1879.0,0.2980308674827036,30.306451612903224
